30,45,32,5
29,15,32,8
1,27,34,-6
5,3,53,-4
-9,12,24,-7
13,25,68,-2
1,0,5,-7
4,41,81,-5
-8,43,27,-8
0,67,82,-4
12,56,23,2
-7,45,34,-4
5,34,33,1
8,56,89,-2
12,67,23,4
-7,69,83,-7
23,65,2,7
-13,15,4,-6
5,1,23,0
27,23,32,8
0,3,12,-4
37,15,32,9
20,42,12,8
14,14,15,5
26,15,56,10
16,14,62,6
2,7,8,-6
-5,12,23,-10
16,3,21,4
-21,31,67,-20
-1,42,15,-5
28,43,83,12
0,61,63,-5
-12,35,74,-10
4,34,62,-3
12,41,83,5
32,63,37,10
-2,16,37,-6
-17,32,67,-18
25,35,23,10
-10,34,12,-11
4,24,15,-3
34,12,45,10
-12,12,41,-13
27,23,14,10
