30,45,32,5
29,15,32,2
1,27,34,4
5,3,53,13
-9,12,24,2
13,25,68,15
1,0,5,-7
4,41,81,18
-8,43,27,8
0,67,82,20
12,56,23,7
-7,45,34,11
5,34,33,10
8,56,89,8
24,45,1,-8
12,67,23,8
-7,69,83,19
23,65,2,-4
-13,15,4,-3
5,1,23,2
27,23,32,7
0,3,12,-4
37,15,32,6
20,42,12,0
14,14,15,1
26,15,56,12
16,14,62,13
2,7,8,-3
-5,12,23,4
16,3,21,2
-21,31,67,12
-1,42,15,0
28,43,83,20
0,61,63,15
15,16,1,-7
-12,35,74,13
4,34,62,11
12,41,83,16
32,63,37,7
-2,16,37,7
-17,32,67,12
25,35,23,3
-10,34,12,1
4,24,15,2
34,12,45,8
-12,12,41,9
27,23,14,0
