30,45,32,2
29,15,32,1
1,27,34,-1
5,3,53,6
-9,12,24,-4
13,25,68,7
1,0,5,-10
4,41,81,9
-8,43,27,0
0,67,82,8
12,56,23,-1
-7,45,34,0
5,34,33,2
8,56,89,9
12,67,23,-1
-7,69,83,7
23,65,2,-7
-13,15,4,-10
5,1,23,-4
27,23,32,-1
0,3,12,-8
37,15,32,1
20,42,12,-3
14,14,15,-1
26,15,56,7
16,14,62,9
2,7,8,-9
-5,12,23,-5
16,3,21,-2
-21,31,67,-11
-1,42,15,-6
28,43,83,8
0,61,63,4
-12,35,74,-5
4,34,62,7
12,41,83,9
32,63,37,2
-2,16,37,-3
-17,32,67,-9
25,35,23,1
-10,34,12,-9
4,24,15,-5
34,12,45,4
-12,12,41,-10
27,23,14,-1
